null,Bảo mật và tối ưu hóa Linux Red Hat,"Hồng Phúc, Nguyễn Ngọc Tuấn, ,",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/12736.jpg,"Tp.HCM :Thống Kê, 2005, In lần thứ 1",2F,11,140000,23
null,Giáo trình lập trình Java,"Huỳnh Ngọc Tín, Nguyễn Trác Thức, Tôn Thất Hòa An (biên soạn); Hoàng Kiếm (hiệu đính)",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/18806.jpg,Tp.HCM : Đại học Quốc gia Thành phố Hồ Chí Minh  2007,2F,11,135000,24
null,Cad trong điện & điện tử vi điều khiển và ứng dụng ,"Lê Ngọc Bích, Phạm Quang Huy.",Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/116357.jpg,"Hà Nội : Bách khoa Hà Nội,  2016",2A,11,47000,25
null,"CAD trong kỹ thuật điện tính toán thiết kế chống sét - chiếu sáng mạng điện động lực với - Benji, Luxicon, Ecodial ",Phùng Thị Nguyệt,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/18496.jpg,"Hà Nội : Bách khoa Hà Nội,  2017",2A,11,130000,26
null,250 bài tập kỹ thuật điện tử,Nguyễn Thanh Trà,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/41874.jpg,"Hà Nội : Giáo dục Việt Nam ,  2010",2A,11,140000,27
null,Báo hiệu kênh chung số 7 ứng dụng CSDL7 trong hệ thống viễn thông ,Lê Thị Hồng Huệ,Đồ án TN,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/luanvan.jpg,Tp.HCM : HUTECH  1999,2B,12,140000,28
null,Cơ sở kỹ thuật siêu cao tần,Kiều Khắc Lâu.,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/239.jpg,"Hà Nội : Giáo dục Việt Nam ,  1998",2A,13,135000,29
null,Ham radio for dummies ,Silver H. Ward.,Sách tham khảo,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/13076.jpg,"[kđ] : Wiley Pub.,  2004",2A,14,47000,30
null,Mạng truyền thông công nghiệp,Hoàng Minh Sơn.,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/10480.jpg,"Hà Nội : Khoa học và Kỹ Thuật ,  2006",2B,15,130000,31
null,Introduction to applied statistical signal analysis : guide to biomedical and electrical engineering applications,Richard Shiavi.,Sách tham khảo,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"Amsterdam : Academic Press,  2007",2A,15,140000,32
null,Advanced mathematical tools for automatic control engineers [electronic resource],Alexander S. Poznyak.,Sách tham khảo,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/79477.jpg," Amsterdam ; New York : Elsevier,  2008",2A,15,135000,33
null,Bài tập điều khiển tự động,"Nguyễn Thị Phương Hà, ,",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/142859.jpg,"TP.HCM :Đại học Quốc gia TP.HCM, 2005,",2B,15,47000,34
null,"Cấu tạo hệ thống truyền lực ô tô con : hệ thống truyền lực hiện đại hệ thống truyền lực điều khiển tự động (AT), hệ thống truyền lực ô tô hai cầu chủ động (4WD, AWD)",,Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/21286.jpg,"Hà Nội : Khoa học và Kỹ Thuật ,  1999",2B,16,140000,35
null,Cơ điện tử : Tự thiết kế lắp ráp 57 mạch điện thông minh," Trần Thế San, Tăng Văn Mùi.",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/19225.jpg,"Hà Nội : Khoa học và Kỹ Thuật ,  2008",2A,17,135000,36
null,"Cơ sở tự động hóa máy công cụ Kỹ thuật điều khiển, điều chỉnh và lập trình khai thác máy công cụ CNC",Tạ Duy Liêm.,Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/18571.jpg,"Hà Nội : Khoa học và Kỹ Thuật ,  2007",2B,18,47000,37
null,Điều khiển hệ pendubot dùng kỹ thuật điều khiển trượt,Nguyễn Hồng Phúc; Nguyễn Thanh Phương (Hướng dẫn khoa học),Đồ án TN,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2014,2A,15,130000,38
null,Bộ điều khiển lập trình vận hành và ứng dụng,"Lê Hoài Quốc, Chung Tấn Lâm.",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"Hà Nội : Khoa học và Kỹ Thuật ,  1999",2A,16,140000,39
null,Cơ sở công nghệ chế tạo máy,Trường Đại học Bách khoa Hà Nội.,Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/6095.jpg,"Hà Nội : Khoa học và Kỹ Thuật ,  2003",2C,17,135000,40
