null,B?o m?t và t?i ?u hóa Linux Red Hat,"H?ng Phúc, Nguy?n Ng?c Tu?n, ,",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/12736.jpg,"Tp.HCM :Th?ng Kê, 2005, In l?n th? 1",2F,11,140000
null,Giáo trình l?p trình Java,"Hu?nh Ng?c Tín, Nguy?n Trác Th?c, Tôn Th?t Hòa An (biên so?n); Hoàng Ki?m (hi?u ?ính)",Sách giáo trình,CNTT,,http://data.lib.hutech.edu.vn/BookImg/18806.jpg,Tp.HCM : ??i h?c Qu?c gia Thành ph? H? Chí Minh  2007,2F,11,135000
null,Cad trong ?i?n & ?i?n t? vi ?i?u khi?n và ?ng d?ng ,"Lê Ng?c Bích, Ph?m Quang Huy.",Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/116357.jpg,"Hà N?i : Bách khoa Hà N?i,  2016",2A,11,47000
null,"CAD trong k? thu?t ?i?n tính toán thi?t k? ch?ng sét - chi?u sáng m?ng ?i?n ??ng l?c v?i - Benji, Luxicon, Ecodial ",Phùng Th? Nguy?t,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/18496.jpg,"Hà N?i : Bách khoa Hà N?i,  2017",2A,11,130000
null,250 bài t?p k? thu?t ?i?n t?,Nguy?n Thanh Trà,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/41874.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  2010",2A,11,140000
null,Báo hi?u kênh chung s? 7 ?ng d?ng CSDL7 trong h? th?ng vi?n thông ,Lê Th? H?ng Hu?,?? án TN,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/luanvan.jpg,Tp.HCM : HUTECH  1999,2B,12,140000
null,C? s? k? thu?t siêu cao t?n,Ki?u Kh?c Lâu.,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/239.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  1998",2A,13,135000
null,Ham radio for dummies ,Silver H. Ward.,Sách tham kh?o,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/13076.jpg,"[k?] : Wiley Pub.,  2004",2A,14,47000
null,M?ng truy?n thông công nghi?p,Hoàng Minh S?n.,Sách giáo trình,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/10480.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  2006",2B,15,130000
null,Introduction to applied statistical signal analysis : guide to biomedical and electrical engineering applications,Richard Shiavi.,Sách tham kh?o,CNTT,CN2,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"Amsterdam : Academic Press,  2007",2A,15,140000
null,Advanced mathematical tools for automatic control engineers [electronic resource],Alexander S. Poznyak.,Sách tham kh?o,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/79477.jpg," Amsterdam ; New York : Elsevier,  2008",2A,15,135000
null,Bài t?p ?i?u khi?n t? ??ng,"Nguy?n Th? Ph??ng Hà, ,",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/142859.jpg,"TP.HCM :??i h?c Qu?c gia TP.HCM, 2005,",2B,15,47000
null,"C?u t?o h? th?ng truy?n l?c ô tô con : h? th?ng truy?n l?c hi?n ??i h? th?ng truy?n l?c ?i?u khi?n t? ??ng (AT), h? th?ng truy?n l?c ô tô hai c?u ch? ??ng (4WD, AWD)",,Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/21286.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  1999",2B,16,140000
null,C? ?i?n t? : T? thi?t k? l?p ráp 57 m?ch ?i?n thông minh," Tr?n Th? San, T?ng V?n Mùi.",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/19225.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  2008",2A,17,135000
null,"C? s? t? ??ng hóa máy công c? K? thu?t ?i?u khi?n, ?i?u ch?nh và l?p trình khai thác máy công c? CNC",T? Duy Liêm.,Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/18571.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  2007",2B,18,47000
null,?i?u khi?n h? pendubot dùng k? thu?t ?i?u khi?n tr??t,Nguy?n H?ng Phúc; Nguy?n Thanh Ph??ng (H??ng d?n khoa h?c),?? án TN,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2014,2A,15,130000
null,B? ?i?u khi?n l?p trình v?n hành và ?ng d?ng,"Lê Hoài Qu?c, Chung T?n Lâm.",Sách giáo trình,CNTT,CN3,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  1999",2A,16,140000
null,C? s? công ngh? ch? t?o máy,Tr??ng ??i h?c Bách khoa Hà N?i.,Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/6095.jpg,"Hà N?i : Khoa h?c và K? Thu?t ,  2003",2C,17,135000
null,Công ngh? ch? t?o máy : dùng cho sinh viên các tr??ng ??i h?c và cao ??ng k? thu?t,"Nguy?n Tr?ng Bình, Nguy?n Tr?ng Hi?u",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/72980.jpg,"Hà N?i : Giáo d?c Vi?t Nam,  2011",2D,18,140000
null,250 bài t?p k? thu?t ?i?n t?,"Nguy?n Thanh Trà, Thái V?nh Hi?n.",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/41874.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  2010",2C,15,135000
null,Bài gi?ng Dung sai l?p ghép và ?o l??ng, Lê ?ình Ph??ng.,Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/10742.jpg,Tp.HCM : HUTECH  2005,2D,16,47000
null,Dung sai l?p ghép và k? thu?t ?o l??ng,"Ninh ??c T?n, Nguy?n Th? Xuân B?y.",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/41830.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  2009",2C,17,130000
null,Giáo trình vi ?i?u khi?n PIC16F và ngôn ng? l?p trình HI - TECH C," Nguy?n Tr??ng Th?nh, Nguy?n T?n Nó",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"TP.HCM : ??i h?c Qu?c gia TP.HCM,  2013",2D,18,140000
null,How to do everything with online video [electronic resource],Andrew Shalat.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/44760.jpg,"San Francisco : McGraw-Hill,  2008",3A,17,135000
null,K? thu?t biên t?p và d?ng video v?i Windows Movie Maker,Nguy?n ?ình Tê t?p th? tác gi?.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/283200.jpg," Hà N?i : Lao ??ng - Xã h?i,  2008",3A,18,47000
null,Bí quy?t v? ký h?a,Hu?nh Ph?m H??ng Trang.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/24694.jpg," Hà N?i : M? thu?t ,  2005",3B,15,140000
null,H?c v? có ph??ng pháp : sách d?y thi?u nhi,"Anh V?, Lê Thanh.",Sách tham kh?o,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/147918.jpg," TPHCM : Tr?,  2000",3A,16,135000
null,Art of Drawing People : Discover simple techniques for drawing a variety of figures and Portraits,,Sách tham kh?o,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/157904.jpg, Irvine : Minneapolis : Quarto Publishing Group USA Quayside [Distributor]  2008,3B,17,47000
null,Bi?u hi?n chân dung phác h?a nhi?u góc ??,"Gia B?o, Anh Tu?n, ?oàn Loan",Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/79433.jpg," Hà N?i : M? thu?t,  2012",3A,18,130000
null,B??c ??u c?a ngh? thu?t v? k?t c?u ng??i,Gia B?o.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/41960.jpg," Hà N?i : M? thu?t,  2012",3B,17,140000
null,802.11 Wireless Network Site Surveying and Installation,Bruce E. Alexander.,Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/8861.jpg,"Indianapolis : Cisco,  2004",3C,17,140000
null,A practical guide to content delivery networks, Gilbert Held.,Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/71579.jpg," Boca Raton : CRC Press,  2011",3D,18,135000
null,"AAA and network security for mobile access : radius, diameter, EAP, PKI and IP mobility","Madjid Nakhjiri, Mahsa Nakhjiri.",Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/39395.jpg," Chichester, England ; Hoboken, NJ : John Wiley & Sons,  2005",3C,15,47000
null,Active and programmable networks for adaptive architectures and services [electronic resource],Syed Asad Hussain.,Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/65547.jpg," Boca Raton, FL : Auerbach Publications,  2006",3D,16,130000
null,An introduction to ATM networks ,Harry G. Perros.,Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/275967.jpg," Chichester [England] ; New York : Wiley,  c2002.",3C,17,140000
null,C?m nang ?i?u hành và qu?n tr? doanh nghi?p,Minh Th? Ph?m.,Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/18655.jpg," Hà N?i : T? ?i?n Bách khoa,  2007",4A,18,135000
null,Chuy?n qu?n tr? doanh nghi?p : nh?ng k? n?ng và kinh nghi?m qu?n tr? trong th?c ti?n kinh doanh ? Vi?t Nam,,Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/72356.jpg,TP.HCM : T?ng h?p Thành ph? H? Chí Minh : Th?i báo Kinh t? Sài Gòn T?ng h?p Thành ph? H? Chí Minh : Th?i báo Kinh t? Sài Gòn  2009,4A,17,47000
null,?àm phán trong kinh doanh qu?c t?,"?oàn Th? H?ng Vân , Kim Ng?c ??t.",Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/22087.jpg,"Hà N?i. : Lao ??ng Xã h?i,  2010",4B,18,130000
null,K? toán qu?n tr? doanh nghi?p : giáo trình ,?oàn Xuân Tiên.,Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/19359.jpg,"Hà N?i : Tài Chính,  2007",4A,17,140000
null,"
Kinh t? và qu?n tr? doanh nghi?p : giáo trình","Ngô Xuân Bình, Hoàng V?n H?i.",Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/18795.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  2007",4A,18,140000
null,"
Qu?n tr? doanh nghi?p",?? Th? Tuy?t.,Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/46100.jpg,"C?n Th? : ??i h?c C?n Th?,  2007",4A,15,140000
null,Bài t?p th?c hành k? toán : l?p ch?ng t? - ghi s? - l?p báo cáo tài chính ,"Tr?nh Qu?c Hùng, Tr?nh Minh Tân.",Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/44920.jpg,"Tp.HCM : Ph??ng ?ông ,  2010",4A,16,135000
null,"Báo cáo tài chính trình bày, phân tích, ki?m tra và ki?m toán","Ph?m ??c C??ng, Tr?n M?nh D?ng, Tr?n Trung Tu?n (ch? biên).",Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/121955.jpg,"Hà N?i : Tài chính,  2018",4B,17,47000
null,Các nhân t? ?nh h??ng ??n ch?t l??ng thông tin k? toán c?a các công ty d?ch v? công ích TP.HCM,Hoàng M?ng Ng?c; Ph?m Ng?c Toàn,?? án TN,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2016,4B,18,130000
null,Ch? ?? k? toán : báo cáo tài chính - ch?ng t? và ghi s? k? toán - s? ?? k? toán. Quy?n 2,B? Tài Chính.,Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/19439.jpg," Hà N?i : Giao Thông V?n T?i,  2008",4A,17,140000
null,"Ch? ?? k? toán doanh nghi?p . Q.2 - Báo cáo tài chính ch?ng t? và s? k? toán, h? th?ng s? ?? k? toán",B? Tài Chính.,Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/19439.jpg," Hà N?i : Giao Thông V?n T?i,  2008",4A,17,135000
null,Các nhân t? ?nh h??ng ??n t? l? chi tr? c? t?c c?a các công ty niêm y?t t?i th? tr??ng ch?ng khoán Vi?t Nam,Lê Th? H?ng Nhung; Nguy?n Tr?n Phúc (H??ng d?n khoa h?c).,?? án TN,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2016,4B,18,47000
null,C? s? hình thành giá c? : Giáo trình,"Ngô Trí Long, Nguy?n V?n D?n.",Sách giáo trình,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/19363.jpg,"Hà N?i : Tài Chính,  2007",4C,15,140000
null,Consumer price index manual : Theory and practice,,Sách tham kh?o,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/50182.jpg," Geneva : International Labour office ,  2004",4C,16,135000
null,Analyzing the large numbers of variables in biomedical and satellite imagery ,Phillip I. Good.,Sách tham kh?o,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/96949.jpg," Hoboken, N.J. : Wiley,  2011",4C,17,47000
null,"
Danh m?c & thu? su?t ??i v?i hàng hóa xu?t nh?p kh?u",B? Tài Chính.,Sách giáo trình,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/19378.jpg,"Hà N?i : Tài Chính,  2007",4D,17,130000
null,Hoàn thi?n th? t?c h?i quan ?i?n t? ??i v?i hàng hóa xu?t nh?p kh?u th??ng m?i t?i c?c h?i quan t?nh Bà R?a - V?ng Tàu,V? Tu?n H?ng;,?? án TN,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2014,4E,18,140000
null,Informal and Illegal Movement in the Upper Greater Mekong Subregion : Costs and Benefits of Informal Networks for Goods and People,,Sách tham kh?o,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/203166.jpg," Institut de recherche sur l'Asie du Sud-Est contemporaine,  2010",4E,15,135000
null,"
Giáo trình thanh toán qu?c t? ",Lê Phan Th? Di?u Th?o (ch? biên)...[ và nh?ng ng??i khác].,Sách giáo trình,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/140613.jpg," TP.HCM : Ph??ng ?ông,  2013",4E,16,47000
null,"
Cách ho?ch ??nh và th?c thi chi?n l??c","Minh ??c Nguy?n d?ch, John L Colley.",Sách giáo trình,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/19397.jpg,"Tp.HCM : T?ng h?p Thành ph? H? Chí Minh,  2007",4F,17,130000
null,100 great marketing ideas : from leading companies around the world,Jim Blythe.,Sách tham kh?o,KT,KT5,http://data.lib.hutech.edu.vn/BookImg/96941.jpg,"London : Marshall Cavendish Business,  2009",4F,18,140000
null,42 rules of marketing elektronisk ressurs, Laura Lowell,Sách giáo trình,KT,KT5,http://data.lib.hutech.edu.vn/BookImg/96931.jpg,"Cupertino, CA : Superstar Press ,  2007",4F,17,140000
null,"501 killer marketing tactics to increase sales, maximize profits, and stomp your competition",Tom Feltenstein,Sách giáo trình,KT,KT5,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"Cupertino, CA : Superstar Press ,  2008",4F,18,140000
null,"
500 Câu h?i tr?c nghi?m kinh t? h?c vi mô",T? ??c Khánh.,Sách giáo trình,KT,,http://data.lib.hutech.edu.vn/BookImg/18781.jpg,"Hà N?i : Giáo d?c Vi?t Nam ,  2008",4E,15,135000
null,Bài t?p kinh t? vi mô.,"Nguy?n Th? ?à, Nguy?n Th? Bích Th?y, Tr??ng H?ng Trình.",Sách giáo trình,KT,,http://data.lib.hutech.edu.vn/BookImg/110793.jpg," Hà N?i : Tài Chính,  2010",4E,17,47000
